Município,Municípios com serviço de esgotamento sanitário por rede coletora em funcionamento e com ETEs (Unidades),Número de ETEs (Unidades)
Piedade de Ponte Nova (MG),0,0
Piedade do Rio Grande (MG),0,0
Piedade dos Gerais (MG),0,0
Pimenta (MG),1,1
Pingo-d'Água (MG),0,0
Pintópolis (MG),0,0
Piracema (MG),0,0
Pirajuba (MG),0,0
Piranga (MG),1,2
Piranguçu (MG),0,0
Piranguinho (MG),0,0
Pirapetinga (MG),0,0
Pirapora (MG),1,1
Piraúba (MG),0,0
Pitangui (MG),0,0
Piumhi (MG),1,1
Planura (MG),0,0
Poço Fundo (MG),0,0
Poços de Caldas (MG),1,2
Pocrane (MG),0,0
Pompéu (MG),1,1
Ponte Nova (MG),0,0
Ponto Chique (MG),0,0
Ponto dos Volantes (MG),0,0
Porteirinha (MG),1,1
Porto Firme (MG),1,1
Poté (MG),1,1
Pouso Alegre (MG),1,3
Pouso Alto (MG),0,0
Prados (MG),1,1
Prata (MG),1,1
Pratápolis (MG),0,0
Pratinha (MG),0,0
Presidente Bernardes (MG),0,0
Presidente Juscelino (MG),0,0
Presidente Kubitschek (MG),1,1
Presidente Olegário (MG),0,0
Alto Jequitibá (MG),0,0
Prudente de Morais (MG),1,1
Quartel Geral (MG),0,0
Queluzito (MG),1,1
Raposos (MG),1,2
Raul Soares (MG),0,0
Recreio (MG),0,0
Reduto (MG),0,0
Resende Costa (MG),1,2
Resplendor (MG),1,2
Ressaquinha (MG),0,0
Riachinho (MG),0,0
Riacho dos Machados (MG),1,1
Ribeirão das Neves (MG),1,3
Ribeirão Vermelho (MG),0,0
Rio Acima (MG),1,1
Rio Casca (MG),0,0
Rio Doce (MG),1,1
Rio do Prado (MG),0,0
Rio Espera (MG),0,0
Rio Manso (MG),0,0
Rio Novo (MG),0,0
Rio Paranaíba (MG),0,0
Rio Pardo de Minas (MG),1,1
Rio Piracicaba (MG),0,0
Rio Pomba (MG),0,0
Rio Preto (MG),0,0
Rio Vermelho (MG),0,0
Ritápolis (MG),0,0
Rochedo de Minas (MG),0,0
Rodeiro (MG),1,1
Romaria (MG),1,1
Rosário da Limeira (MG),0,0
Rubelita (MG),1,1
Rubim (MG),0,0
Sabará (MG),0,0
Sabinópolis (MG),0,0
Sacramento (MG),1,1
Salinas (MG),1,4
Salto da Divisa (MG),0,0
Santa Bárbara (MG),0,0
Santa Bárbara do Leste (MG),0,0
Santa Bárbara do Monte Verde (MG),0,0
Santa Bárbara do Tugúrio (MG),0,0
Santa Cruz de Minas (MG),0,0
Santa Cruz de Salinas (MG),1,1
Santa Cruz do Escalvado (MG),1,2
Santa Efigênia de Minas (MG),0,0
Santa Fé de Minas (MG),0,0
Santa Helena de Minas (MG),1,1
Santa Juliana (MG),0,0
Santa Luzia (MG),1,5
Santa Margarida (MG),1,1
Santa Maria de Itabira (MG),0,0
Santa Maria do Salto (MG),0,0
Santa Maria do Suaçuí (MG),0,0
Santana da Vargem (MG),1,1
Santana de Cataguases (MG),0,0
Santana de Pirapama (MG),1,1
Santana do Deserto (MG),0,0
Santana do Garambéu (MG),0,0
Santana do Jacaré (MG),0,0
Santana do Manhuaçu (MG),0,0
Santana do Paraíso (MG),0,0
Santana do Riacho (MG),0,0
Santana dos Montes (MG),0,0
Santa Rita de Caldas (MG),0,0
Santa Rita de Jacutinga (MG),0,0
Santa Rita de Minas (MG),0,0
Santa Rita de Ibitipoca (MG),0,0
Santa Rita do Itueto (MG),0,0
Santa Rita do Sapucaí (MG),1,1
Santa Rosa da Serra (MG),0,0
Santa Vitória (MG),0,0
Santo Antônio do Amparo (MG),1,1
Santo Antônio do Aventureiro (MG),0,0
Santo Antônio do Grama (MG),0,0
Santo Antônio do Itambé (MG),0,0
Santo Antônio do Jacinto (MG),0,0
Santo Antônio do Monte (MG),1,1
Santo Antônio do Retiro (MG),1,1
Santo Antônio do Rio Abaixo (MG),0,0
Santo Hipólito (MG),0,0
Santos Dumont (MG),0,0
São Bento Abade (MG),0,0
São Brás do Suaçuí (MG),0,0
São Domingos das Dores (MG),1,1
São Domingos do Prata (MG),0,0
São Félix de Minas (MG),0,0
São Francisco (MG),1,1
São Francisco de Paula (MG),0,0
São Francisco de Sales (MG),0,0
São Francisco do Glória (MG),0,0
São Geraldo (MG),0,0
São Geraldo da Piedade (MG),0,0
São Geraldo do Baixio (MG),1,1
São Gonçalo do Abaeté (MG),0,0
São Gonçalo do Pará (MG),0,0
São Gonçalo do Rio Abaixo (MG),0,0
São Gonçalo do Sapucaí (MG),1,3
São Gotardo (MG),1,1
São João Batista do Glória (MG),1,1
São João da Lagoa (MG),0,0
São João da Mata (MG),0,0
São João da Ponte (MG),1,1
São João das Missões (MG),0,0
São João del Rei (MG),1,1
São João do Manhuaçu (MG),0,0
São João do Manteninha (MG),0,0
São João do Oriente (MG),0,0
São João do Pacuí (MG),0,0
São João do Paraíso (MG),1,1
São João Evangelista (MG),0,0
São João Nepomuceno (MG),0,0
São Joaquim de Bicas (MG),1,1
São José da Barra (MG),0,0
São José da Lapa (MG),1,2
São José da Safira (MG),0,0
São José da Varginha (MG),1,1
São José do Alegre (MG),0,0
São José do Divino (MG),1,1
São José do Goiabal (MG),0,0
São José do Jacuri (MG),0,0
São José do Mantimento (MG),0,0
São Lourenço (MG),0,0
São Miguel do Anta (MG),0,0
São Pedro da União (MG),0,0
São Pedro dos Ferros (MG),0,0
São Pedro do Suaçuí (MG),0,0
São Romão (MG),0,0
São Roque de Minas (MG),1,1
São Sebastião da Bela Vista (MG),0,0
São Sebastião da Vargem Alegre (MG),0,0
São Sebastião do Anta (MG),0,0
São Sebastião do Maranhão (MG),0,0
São Sebastião do Oeste (MG),0,0
São Sebastião do Paraíso (MG),1,2
São Sebastião do Rio Preto (MG),0,0
São Sebastião do Rio Verde (MG),1,1
São Tiago (MG),1,1
São Tomás de Aquino (MG),0,0
São Tomé das Letras (MG),0,0
São Vicente de Minas (MG),0,0
Sapucaí-Mirim (MG),0,0
Sardoá (MG),0,0
Sarzedo (MG),1,1
Setubinha (MG),1,1
Sem-Peixe (MG),0,0
Senador Amaral (MG),0,0
Senador Cortes (MG),0,0
Senador Firmino (MG),0,0
Senador José Bento (MG),0,0
Senador Modestino Gonçalves (MG),1,1
Senhora de Oliveira (MG),1,1
Senhora do Porto (MG),0,0
Senhora dos Remédios (MG),1,1
Sericita (MG),0,0
Seritinga (MG),0,0
Serra Azul de Minas (MG),0,0
Serra da Saudade (MG),0,0
Serra dos Aimorés (MG),1,1
Serra do Salitre (MG),1,1
Serrania (MG),1,2
Serranópolis de Minas (MG),0,0
Serranos (MG),0,0
Serro (MG),1,1
Sete Lagoas (MG),1,11
Silveirânia (MG),0,0
Silvianópolis (MG),0,0
Simão Pereira (MG),0,0
Simonésia (MG),0,0
Sobrália (MG),0,0
Soledade de Minas (MG),0,0
Tabuleiro (MG),0,0
Taiobeiras (MG),1,1
Taparuba (MG),0,0
Tapira (MG),0,0
Tapiraí (MG),0,0
Taquaraçu de Minas (MG),0,0
Tarumirim (MG),0,0
Teixeiras (MG),0,0
Teófilo Otoni (MG),1,1
Timóteo (MG),0,0
Tiradentes (MG),0,0
Tiros (MG),1,1
Tocantins (MG),0,0
Tocos do Moji (MG),0,0
Toledo (MG),0,0
Tombos (MG),0,0
Três Corações (MG),1,1
Três Marias (MG),1,1
Três Pontas (MG),1,2
Tumiritinga (MG),1,1
Tupaciguara (MG),0,0
Turmalina (MG),1,3
Turvolândia (MG),0,0
Ubá (MG),0,0
Ubaí (MG),0,0
Ubaporanga (MG),0,0
Uberaba (MG),1,2
Uberlândia (MG),1,8
Umburatiba (MG),1,1
Unaí (MG),1,1
União de Minas (MG),1,1
Uruana de Minas (MG),1,1
Urucânia (MG),1,1
Urucuia (MG),0,0
Vargem Alegre (MG),0,0
Vargem Bonita (MG),1,2
Vargem Grande do Rio Pardo (MG),0,0
Varginha (MG),1,3
Varjão de Minas (MG),1,1
Várzea da Palma (MG),1,1
Varzelândia (MG),1,1
Vazante (MG),1,1
Verdelândia (MG),0,0
Veredinha (MG),1,1
Veríssimo (MG),1,1
Vermelho Novo (MG),0,0
Vespasiano (MG),1,3
Viçosa (MG),1,6
Vieiras (MG),0,0
Mathias Lobato (MG),0,0
Virgem da Lapa (MG),0,0
Virgínia (MG),0,0
Virginópolis (MG),0,0
Virgolândia (MG),1,1
Visconde do Rio Branco (MG),0,0
Volta Grande (MG),0,0
Wenceslau Braz (MG),0,0
Afonso Cláudio (ES),1,6
Águia Branca (ES),0,0
Água Doce do Norte (ES),0,0
Alegre (ES),0,0
Alfredo Chaves (ES),1,8
Alto Rio Novo (ES),0,0
Anchieta (ES),1,4
Apiacá (ES),1,1
Aracruz (ES),1,8
Atílio Vivácqua (ES),1,2
Baixo Guandu (ES),1,1
Barra de São Francisco (ES),1,4
Boa Esperança (ES),1,4
Bom Jesus do Norte (ES),1,1
Brejetuba (ES),0,0
Cachoeiro de Itapemirim (ES),1,11
Cariacica (ES),1,7
Castelo (ES),1,4
Colatina (ES),1,4
Conceição da Barra (ES),1,1
Conceição do Castelo (ES),0,0
Divino de São Lourenço (ES),0,0
Domingos Martins (ES),1,12
Dores do Rio Preto (ES),0,0
Ecoporanga (ES),1,1
Fundão (ES),0,0
Governador Lindenberg (ES),1,1
Guaçuí (ES),0,0
Guarapari (ES),1,4
Ibatiba (ES),0,0
Ibiraçu (ES),0,0
Ibitirama (ES),0,0
Iconha (ES),1,8
Irupi (ES),0,0
Itaguaçu (ES),1,4
Itapemirim (ES),1,3
Itarana (ES),1,1
Iúna (ES),0,0
Jaguaré (ES),1,5
Jerônimo Monteiro (ES),1,1
João Neiva (ES),1,4
Laranja da Terra (ES),1,7
Linhares (ES),1,7
Mantenópolis (ES),1,1
Marataízes (ES),0,0
Marechal Floriano (ES),1,1
Marilândia (ES),1,3
Mimoso do Sul (ES),0,0
Montanha (ES),1,2
Mucurici (ES),1,3
Muniz Freire (ES),1,2
Muqui (ES),0,0
Nova Venécia (ES),0,0
Pancas (ES),0,0
Pedro Canário (ES),1,3
Pinheiros (ES),0,0
Piúma (ES),1,4
Ponto Belo (ES),1,3
Presidente Kennedy (ES),0,0
Rio Bananal (ES),1,2
Rio Novo do Sul (ES),1,5
Santa Leopoldina (ES),0,0
Santa Maria de Jetibá (ES),1,6
Santa Teresa (ES),1,2
São Domingos do Norte (ES),0,0
São Gabriel da Palha (ES),1,3
São José do Calçado (ES),0,0
São Mateus (ES),0,0
São Roque do Canaã (ES),1,1
Serra (ES),1,21
Sooretama (ES),1,1
Vargem Alta (ES),0,0
Venda Nova do Imigrante (ES),1,8
Viana (ES),1,6
Vila Pavão (ES),0,0
Vila Valério (ES),1,3
Vila Velha (ES),1,8
Vitória (ES),1,4
Angra dos Reis (RJ),1,3
Aperibé (RJ),1,19
Araruama (RJ),1,1
Areal (RJ),0,0
Armação dos Búzios (RJ),1,1
Arraial do Cabo (RJ),1,2
Barra do Piraí (RJ),0,0
Barra Mansa (RJ),1,4
Belford Roxo (RJ),1,2
Bom Jardim (RJ),0,0
Bom Jesus do Itabapoana (RJ),0,0
Cabo Frio (RJ),1,2
Cachoeiras de Macacu (RJ),0,0
Cambuci (RJ),1,7
Carapebus (RJ),1,1
Comendador Levy Gasparian (RJ),1,1
Campos dos Goytacazes (RJ),1,6
Cantagalo (RJ),0,0
Cardoso Moreira (RJ),1,11
Carmo (RJ),0,0
Casimiro de Abreu (RJ),1,2
Conceição de Macabu (RJ),0,0
Cordeiro (RJ),1,1
Duas Barras (RJ),0,0
Duque de Caxias (RJ),1,1
Engenheiro Paulo de Frontin (RJ),0,0
Guapimirim (RJ),0,0
Iguaba Grande (RJ),1,1
Itaboraí (RJ),1,2
Itaguaí (RJ),0,0
Italva (RJ),1,4
Itaocara (RJ),0,0
Itaperuna (RJ),0,0
Itatiaia (RJ),0,0
Japeri (RJ),0,0
Laje do Muriaé (RJ),0,0
Macaé (RJ),1,7
Macuco (RJ),1,2
Magé (RJ),1,1
Mangaratiba (RJ),1,4
Maricá (RJ),1,1
Mendes (RJ),0,0
Mesquita (RJ),0,0
Miguel Pereira (RJ),1,1
Miracema (RJ),0,0
Natividade (RJ),0,0
Nilópolis (RJ),0,0
Niterói (RJ),1,8
Nova Friburgo (RJ),1,4
Nova Iguaçu (RJ),1,1
Paracambi (RJ),0,0
Paraíba do Sul (RJ),0,0
Paraty (RJ),1,1
Paty do Alferes (RJ),1,2
Petrópolis (RJ),1,29
Pinheiral (RJ),0,0
Piraí (RJ),1,2
Porciúncula (RJ),0,0
Porto Real (RJ),1,3
Quatis (RJ),0,0
Queimados (RJ),0,0
Quissamã (RJ),1,4
Resende (RJ),1,9
Rio Bonito (RJ),0,0
Rio Claro (RJ),0,0
Rio das Flores (RJ),1,1
Rio das Ostras (RJ),1,9
Rio de Janeiro (RJ),1,57
Santa Maria Madalena (RJ),1,2
Santo Antônio de Pádua (RJ),0,0
São Francisco de Itabapoana (RJ),0,0
São Fidélis (RJ),1,1
São Gonçalo (RJ),1,2
São João da Barra (RJ),1,1
São João de Meriti (RJ),0,0
São José de Ubá (RJ),0,0
São José do Vale do Rio Preto (RJ),1,3
São Pedro da Aldeia (RJ),1,1
São Sebastião do Alto (RJ),1,1
Sapucaia (RJ),1,2
Saquarema (RJ),1,4
Seropédica (RJ),1,1
Silva Jardim (RJ),1,2
Sumidouro (RJ),0,0
Tanguá (RJ),1,1
Teresópolis (RJ),0,0
Trajano de Moraes (RJ),0,0
Três Rios (RJ),1,2
Valença (RJ),1,3
Varre-Sai (RJ),0,0
Vassouras (RJ),1,1
Volta Redonda (RJ),1,7
Adamantina (SP),1,3
Adolfo (SP),1,1
Aguaí (SP),1,1
Águas da Prata (SP),1,5
Águas de Lindóia (SP),1,2
Águas de Santa Bárbara (SP),1,1
Águas de São Pedro (SP),1,1
Agudos (SP),1,1
Alambari (SP),1,1
Alfredo Marcondes (SP),1,1
Altair (SP),1,2
Altinópolis (SP),1,1
Alto Alegre (SP),1,3
Alumínio (SP),1,1
Álvares Florence (SP),1,2
Álvares Machado (SP),0,0
Álvaro de Carvalho (SP),1,1
Alvinlândia (SP),1,1
Americana (SP),1,2
Américo Brasiliense (SP),0,0
Américo de Campos (SP),1,1
Amparo (SP),1,1
Analândia (SP),1,1
Andradina (SP),1,5
Angatuba (SP),1,3
Anhembi (SP),1,2
Anhumas (SP),1,1
Aparecida (SP),1,1
Aparecida d'Oeste (SP),1,1
Apiaí (SP),1,1
Araçariguama (SP),1,1
Araçatuba (SP),1,3
Araçoiaba da Serra (SP),1,1
Aramina (SP),1,1
Arandu (SP),1,1
Arapeí (SP),1,1
Araraquara (SP),1,3
Araras (SP),0,0
Arco-Íris (SP),1,1
Arealva (SP),1,3
Areias (SP),0,0
Areiópolis (SP),1,1
Ariranha (SP),1,1
Artur Nogueira (SP),1,1
Arujá (SP),1,1
Aspásia (SP),1,1
Assis (SP),1,2
Atibaia (SP),1,3
Auriflama (SP),1,1
Avaí (SP),1,1
Avanhandava (SP),1,2
Avaré (SP),1,2
Bady Bassitt (SP),1,1
Balbinos (SP),1,1
Bálsamo (SP),1,1
Bananal (SP),1,1
Barão de Antonina (SP),1,1
Barbosa (SP),1,1
Bariri (SP),1,2
Barra Bonita (SP),1,1
Barra do Chapéu (SP),1,1
Barra do Turvo (SP),1,1
Barretos (SP),1,7
Barrinha (SP),1,2
Barueri (SP),1,1
Bastos (SP),1,1
Batatais (SP),1,1
Bauru (SP),1,2
Bebedouro (SP),1,6
Bento de Abreu (SP),1,1
Bernardino de Campos (SP),1,2
Bertioga (SP),1,3
Bilac (SP),1,1
Birigui (SP),1,1
Biritiba Mirim (SP),1,1
Boa Esperança do Sul (SP),1,1
Bocaina (SP),1,2
Bofete (SP),1,2
Boituva (SP),1,2
Bom Jesus dos Perdões (SP),0,0
Bom Sucesso de Itararé (SP),1,1
Borá (SP),1,1
Boracéia (SP),1,1
Borborema (SP),1,3
Borebi (SP),1,1
Botucatu (SP),1,4
Bragança Paulista (SP),1,1
Braúna (SP),1,1
Brejo Alegre (SP),1,1
Brodowski (SP),1,2
Brotas (SP),1,2
Buri (SP),1,2
Buritama (SP),1,1
Buritizal (SP),1,1
Cabrália Paulista (SP),1,1
Cabreúva (SP),1,3
Caçapava (SP),1,7
Cachoeira Paulista (SP),1,2
Caconde (SP),0,0
Cafelândia (SP),0,0
Caiabu (SP),1,3
Caieiras (SP),0,0
Caiuá (SP),1,2
Cajamar (SP),1,1
Cajati (SP),1,2
Cajobi (SP),1,2
Cajuru (SP),1,1
Campina do Monte Alegre (SP),1,2
Campinas (SP),1,26
Campo Limpo Paulista (SP),0,0
Campos do Jordão (SP),1,1
Campos Novos Paulista (SP),1,1
Cananéia (SP),1,3
Canas (SP),1,1
Cândido Mota (SP),1,3
Cândido Rodrigues (SP),1,2
Canitar (SP),1,1
Capão Bonito (SP),1,2
Capela do Alto (SP),1,2
Capivari (SP),1,5
Caraguatatuba (SP),1,4
Carapicuíba (SP),0,0
Cardoso (SP),1,2
Casa Branca (SP),1,2
Cássia dos Coqueiros (SP),1,1
Castilho (SP),1,2
Catanduva (SP),1,1
Catiguá (SP),1,1
Cedral (SP),1,1
Cerqueira César (SP),1,4
Cerquilho (SP),1,4
Cesário Lange (SP),1,2
Charqueada (SP),1,3
Clementina (SP),1,3
Colina (SP),1,2
Colômbia (SP),1,2
Conchal (SP),1,2
Conchas (SP),1,1
Cordeirópolis (SP),0,0
Coroados (SP),1,1
Coronel Macedo (SP),1,1
Corumbataí (SP),1,1
Cosmópolis (SP),0,0
Cosmorama (SP),1,2
Cotia (SP),1,1
Cravinhos (SP),1,1
Cristais Paulista (SP),1,1
Cruzália (SP),1,2
Cruzeiro (SP),1,4
Cubatão (SP),1,2
Cunha (SP),1,1
Descalvado (SP),0,0
Diadema (SP),0,0
Dirce Reis (SP),1,1
Divinolândia (SP),1,1
Dobrada (SP),1,1
Dois Córregos (SP),1,2
Dolcinópolis (SP),1,1
Dourado (SP),1,1
Dracena (SP),1,2
Duartina (SP),1,1
Dumont (SP),1,1
Echaporã (SP),1,1
Eldorado (SP),1,3
Elias Fausto (SP),1,2
Elisiário (SP),1,1
Embaúba (SP),1,1
Embu das Artes (SP),0,0
Embu-Guaçu (SP),1,2
Emilianópolis (SP),1,1
Engenheiro Coelho (SP),1,1
Espírito Santo do Pinhal (SP),1,1
Espírito Santo do Turvo (SP),1,1
Estrela d'Oeste (SP),1,2
Estrela do Norte (SP),1,1
Euclides da Cunha Paulista (SP),1,1
Fartura (SP),1,1
Fernandópolis (SP),1,3
Fernando Prestes (SP),1,2
Fernão (SP),1,1
Ferraz de Vasconcelos (SP),0,0
Flora Rica (SP),1,1
Floreal (SP),1,1
Flórida Paulista (SP),1,2
Florínea (SP),1,1
Franca (SP),1,9
Francisco Morato (SP),0,0
Franco da Rocha (SP),0,0
Gabriel Monteiro (SP),1,1
Gália (SP),1,1
Garça (SP),1,3
Gastão Vidigal (SP),1,1
Gavião Peixoto (SP),0,0
General Salgado (SP),1,3
Getulina (SP),1,1
Glicério (SP),1,2
Guaiçara (SP),1,1
Guaimbê (SP),1,1
Guaíra (SP),1,4
Guapiaçu (SP),1,1
Guapiara (SP),1,1
Guará (SP),1,2
Guaraçaí (SP),1,2
Guaraci (SP),1,1
Guarani d'Oeste (SP),1,1
Guarantã (SP),1,1
Guararapes (SP),1,2
Guararema (SP),1,3
Guaratinguetá (SP),1,4
Guareí (SP),1,1
Guariba (SP),1,1
Guarujá (SP),1,2
Guarulhos (SP),1,3
Guatapará (SP),1,1
Guzolândia (SP),1,1
Herculândia (SP),1,2
Holambra (SP),1,1
Hortolândia (SP),1,1
Iacanga (SP),1,1
Iacri (SP),1,1
Iaras (SP),1,1
Ibaté (SP),1,2
Ibirá (SP),1,3
Ibirarema (SP),1,1
Ibitinga (SP),0,0
Ibiúna (SP),1,1
Icém (SP),1,1
Iepê (SP),1,1
Igaraçu do Tietê (SP),1,1
Igarapava (SP),1,1
Igaratá (SP),1,1
Iguape (SP),1,1
Ilhabela (SP),1,2
Ilha Comprida (SP),1,2
Ilha Solteira (SP),1,1
Indaiatuba (SP),1,1
Indiana (SP),1,1
Indiaporã (SP),1,2
Inúbia Paulista (SP),1,1
Ipaussu (SP),1,1
Iperó (SP),1,2
Ipeúna (SP),1,1
Ipiguá (SP),0,0
Iporanga (SP),1,3
Ipuã (SP),1,2
Iracemápolis (SP),1,1
Irapuã (SP),1,1
Irapuru (SP),1,2
Itaberá (SP),1,2
Itaí (SP),1,1
Itajobi (SP),1,1
Itaju (SP),1,1
Itanhaém (SP),1,2
Itaoca (SP),1,1
Itapecerica da Serra (SP),0,0
Itapetininga (SP),1,6
Itapeva (SP),1,1
Itapevi (SP),0,0
Itapira (SP),1,3
Itapirapuã Paulista (SP),1,1
Itápolis (SP),1,1
Itaporanga (SP),1,1
Itapuí (SP),0,0
Itapura (SP),1,1
Itaquaquecetuba (SP),1,4
Itararé (SP),1,1
Itariri (SP),1,2
Itatiba (SP),1,2
Itatinga (SP),1,2
Itirapina (SP),1,1
Itirapuã (SP),1,1
Itobi (SP),1,1
Itu (SP),1,1
Itupeva (SP),1,3
Ituverava (SP),1,4
Jaborandi (SP),1,1
Jaboticabal (SP),1,3
Jacareí (SP),1,14
Jaci (SP),1,1
Jacupiranga (SP),1,2
Jaguariúna (SP),1,1
Jales (SP),1,2
Jambeiro (SP),1,1
Jandira (SP),0,0
Jardinópolis (SP),1,3
Jarinu (SP),1,1
Jaú (SP),0,0
Jeriquara (SP),1,1
Joanópolis (SP),1,1
João Ramalho (SP),1,1
José Bonifácio (SP),1,3
Júlio Mesquita (SP),1,1
Jumirim (SP),1,1
Jundiaí (SP),1,3
Junqueirópolis (SP),1,2
Juquiá (SP),1,3
Juquitiba (SP),1,1
Lagoinha (SP),1,1
Laranjal Paulista (SP),1,3
Lavínia (SP),1,13
Lavrinhas (SP),1,1
Leme (SP),1,1
Lençóis Paulista (SP),1,2
Limeira (SP),1,4
Lindóia (SP),0,0
Lins (SP),1,2
Lorena (SP),1,1
Lourdes (SP),1,1
Louveira (SP),1,1
Lucélia (SP),1,1
Lucianópolis (SP),1,1
Luís Antônio (SP),1,1
Luiziânia (SP),1,1
Lupércio (SP),1,2
Lutécia (SP),1,1
Macatuba (SP),1,1
Macaubal (SP),0,0
Macedônia (SP),1,1
Magda (SP),1,1
Mairinque (SP),0,0
Mairiporã (SP),1,1
Manduri (SP),1,1
Marabá Paulista (SP),1,1
Maracaí (SP),1,3
Marapoama (SP),1,2
Mariápolis (SP),1,1
Marília (SP),1,22
Marinópolis (SP),1,1
Martinópolis (SP),1,3
Matão (SP),1,2
Mauá (SP),1,1
Mendonça (SP),1,1
Meridiano (SP),1,2
Mesópolis (SP),1,1
Miguelópolis (SP),1,1
Mineiros do Tietê (SP),1,1
Miracatu (SP),1,7
Mira Estrela (SP),1,1
Mirandópolis (SP),1,1
Mirante do Paranapanema (SP),1,1
Mirassol (SP),1,2
Mirassolândia (SP),1,1
Mococa (SP),1,3
Mogi das Cruzes (SP),1,1
Mogi Guaçu (SP),1,4
Mogi Mirim (SP),1,1
Mombuca (SP),1,1
Monções (SP),1,1
Mongaguá (SP),1,2
Monte Alegre do Sul (SP),0,0
Monte Alto (SP),1,4
Monte Aprazível (SP),1,2
Monte Azul Paulista (SP),1,1
Monte Castelo (SP),1,1
Monteiro Lobato (SP),1,3
Monte Mor (SP),1,3
Morro Agudo (SP),1,1
Morungaba (SP),1,1
Motuca (SP),1,2
Murutinga do Sul (SP),1,2
Nantes (SP),1,1
Narandiba (SP),1,1
Natividade da Serra (SP),1,1
Nazaré Paulista (SP),1,1
Neves Paulista (SP),1,1
Nhandeara (SP),1,2
Nipoã (SP),1,1
Nova Aliança (SP),1,1
Nova Campina (SP),1,1
Nova Canaã Paulista (SP),1,2
Nova Castilho (SP),1,1
Nova Europa (SP),1,1
Nova Granada (SP),1,2
Nova Guataporanga (SP),1,1
Nova Independência (SP),1,2
Novais (SP),1,1
Nova Luzitânia (SP),1,1
Nova Odessa (SP),1,2
Novo Horizonte (SP),1,1
Nuporanga (SP),1,1
Ocauçu (SP),1,2
Óleo (SP),1,2
Olímpia (SP),1,3
Onda Verde (SP),1,1
Oriente (SP),1,1
Orindiúva (SP),1,1
Orlândia (SP),0,0
Osasco (SP),0,0
Oscar Bressane (SP),1,1
Osvaldo Cruz (SP),1,1
Ourinhos (SP),1,2
Ouroeste (SP),1,2
Ouro Verde (SP),1,1
Pacaembu (SP),1,1
Palestina (SP),1,2
Palmares Paulista (SP),1,1
Palmeira d'Oeste (SP),1,1
Palmital (SP),1,1
Panorama (SP),1,1
Paraguaçu Paulista (SP),1,3
Paraibuna (SP),0,0
Paraíso (SP),0,0
Paranapanema (SP),1,3
Paranapuã (SP),1,1
Parapuã (SP),1,1
Pardinho (SP),1,1
Pariquera-Açu (SP),1,1
Parisi (SP),1,1
Patrocínio Paulista (SP),1,1
Paulicéia (SP),1,1
Paulínia (SP),1,2
Paulistânia (SP),1,1
Paulo de Faria (SP),1,1
Pederneiras (SP),1,4
Pedra Bela (SP),0,0
Pedranópolis (SP),1,2
Pedregulho (SP),1,4
Pedreira (SP),1,1
Pedrinhas Paulista (SP),1,1
Pedro de Toledo (SP),1,1
Penápolis (SP),1,2
Pereira Barreto (SP),1,1
Pereiras (SP),1,1
Peruíbe (SP),1,2
Piacatu (SP),1,1
Piedade (SP),1,1
Pilar do Sul (SP),1,2
Pindamonhangaba (SP),1,3
Pindorama (SP),1,3
Pinhalzinho (SP),1,1
Piquerobi (SP),1,1
Piquete (SP),0,0
Piracaia (SP),1,1
Piracicaba (SP),1,27
Piraju (SP),1,1
Pirajuí (SP),0,0
Pirangi (SP),1,1
Pirapora do Bom Jesus (SP),1,1
Pirapozinho (SP),1,1
Pirassununga (SP),1,2
Piratininga (SP),1,1
Pitangueiras (SP),1,1
Planalto (SP),1,1
Platina (SP),1,1
Poá (SP),0,0
Poloni (SP),1,1
Pompéia (SP),1,3
Pongaí (SP),1,1
Pontal (SP),1,1
Pontalinda (SP),1,1
Pontes Gestal (SP),1,1
Populina (SP),1,2
Porangaba (SP),1,1
Porto Feliz (SP),1,1
Porto Ferreira (SP),1,2
Potim (SP),0,0
Potirendaba (SP),1,1
Pracinha (SP),1,1
Pradópolis (SP),1,1
Praia Grande (SP),1,3
Pratânia (SP),1,1
Presidente Alves (SP),1,2
Presidente Bernardes (SP),1,1
Presidente Epitácio (SP),1,1
Presidente Prudente (SP),1,5
Presidente Venceslau (SP),1,1
Promissão (SP),1,1
Quadra (SP),1,1
Quatá (SP),1,1
Queiroz (SP),1,1
Queluz (SP),1,1
Quintana (SP),1,1
Rafard (SP),0,0
Rancharia (SP),1,4
Redenção da Serra (SP),1,1
Regente Feijó (SP),1,3
Reginópolis (SP),1,1
Registro (SP),1,3
Restinga (SP),1,1
Ribeira (SP),1,1
Ribeirão Bonito (SP),0,0
Ribeirão Branco (SP),1,2
Ribeirão Corrente (SP),1,1
Ribeirão do Sul (SP),1,1
Ribeirão dos Índios (SP),1,1
Ribeirão Grande (SP),1,1
Ribeirão Pires (SP),0,0
Ribeirão Preto (SP),1,2
Riversul (SP),1,1
Rifaina (SP),1,1
Rincão (SP),0,0
Rinópolis (SP),1,1
Rio Claro (SP),1,8
Rio das Pedras (SP),0,0
Rio Grande da Serra (SP),0,0
Riolândia (SP),1,2
Rosana (SP),1,2
Roseira (SP),1,1
Rubiácea (SP),1,2
Rubinéia (SP),1,2
Sabino (SP),1,1
Sagres (SP),1,1
Sales (SP),1,1
Sales Oliveira (SP),1,2
Salesópolis (SP),1,2
Salmourão (SP),1,1
Saltinho (SP),1,1
Salto (SP),1,1
